高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
你细细了解生活道路上的艰难险阻。	世路风波子细谙	世路风波随处险	蚤知世路风波险	须知世路风波恶
我想到那返回故里的路途，然而剑门失守，不尽归路断绝。	长路关心悲剑阁	长路关心闻过雁	半年长路几关心	长路关山感慨深
这眼前的奇景，如倾倒了鲛人的宫室，把珠玉洒遍人寰。	倒倾鲛室泻琼瑰	倾泻琼珠三万斛	倒倾蛟室泻琼瑰	欲泻琼瑰警枕偏
在春殿中酒至半酣时看着细腰女在跳舞。	春殿半酣细腰舞	细腰争舞郁金裙	春设殿前多队舞	贪向春风舞细腰
如今活着走出瞿塘峡滟滪关。	生出瞿塘滟滪关	好过瞿塘滟滪堆	身自瞿塘滟滪回	莫过瞿塘滟滪堆
穿青衫匹马单枪万人欢送。	青衫匹马万人呼	身著青衫骑恶马	匹马青衫忽叩门	青衫司马令人恨
雷师却说还没安排停当。	雷师告余以未具	当与余言未及之	伊尹告归曾未果	来告头风久未痊
如今你们同我都已经老去，都一样是这般步履龙钟。	今日龙钟人共弃	今日共知遗迹胜	今日美人弃我去	两袖龙钟人共弃
江边的烟雾一扫而空，于是柳树的枝条显得更加轻盈。	江烟洗尽柳条轻	霁烟低处柳条浓	春风淡荡柳条轻	堤烟润溽柳条轻
它还能带着昭阳殿的日影飞来。	犹带昭阳日影来	长川犹带夕阳流	何时日影昭阳带	一线昭阳日影迟
想你却难相见，只能依依不舍顺江去向渝州。	思君不见下渝州	思君不见下渝洲	思君不见梅溪上	思君不见使人愁
玉门关周围山峦层层叠叠，像重重屏障护卫着王朝的西北边防。	玉门山嶂几千重	神山杳霭几千重	山水千重复万重	西看叠嶂几千重
怀壮志收失地此心未灭。	壮心未许全消尽	老来壮志未消磨	牢落壮心消欲尽	壮心直气未全销
弄得今年斗品也成了贡茶。	今年斗品充官茶	今年茶比常年早	年来冬荐得官迟	今年州司索官帑
明妃当初嫁给胡人的时候。	明妃初嫁与胡儿	不如嫁与弄潮儿	嫁与邯郸厮养儿	阴山未免嫁明妃
他们把好麦都交了租赋。	尽将精好输公赋	只将词赋事君王	竞将雕刻费精神	祗将田赋较公私
永州的夏天又湿又热，困得使人像醉汉打盹。	南州溽暑醉如酒	南州八月暑云蒸	南州大暑何可当	溽暑中人如酒然
一道银河映入水的中央。	星河一道水中央	水接银河一道回	星望银河一水宽	一道银河通碧落
他能在一尺见方的画面上绘出万里江山的景象。	焉得并州快剪刀	试觅并州快剪刀	安得并州快剪刀	不用并州快剪刀
将领们扫空敌营归来。	汉将归来虏塞空	汉关秦塞剩空谈	汉帝归来猛气多	汉将新从虏地来
御花园内的侍从们，都知道神奇的续弦胶。	内苑只知含凤嘴	内苑只知含凤觜	给事含香近凤池	内苑养雏何所赐
哎呀我的意愿大概会是白说！	呜呼吾意其蹉跎	吾意蹉跎聊自诡	吾道蹉跎尚未穷	不知吾意已蹉跎
鬓发稀疏，好像大病了一场。	疫气冲头鬓茎少	老侵须鬓茎茎白	鬓稀尚要千茎白	满头霜雪鬓䰐𩭹
铜驼陌上春风吹拂。	铜驼陌上好风吹	铜驼巷陌棘风凉	不到铜驼陌上秋	和唱铜驼陌上春
那挂在青天上的，就是我的一颗心哪。	挂在青天是我心	青天明月是知心	心在青天白日间	青天白日是知心
狂欢高歌像有鬼神相助。	但觉高歌有鬼神	但觉高歌动神鬼	还抱高歌动鬼神	更觉高歌有鬼神
自古以来万事都像东流的水一样一去不复返。	古来万事东流水	中间万事水东流	古今万事云来去	平生万事水东流
圣主一定还想听听《子虚赋》。	圣主还听子虚赋	献赋心还鄙子虚	圣主只今还好赋	圣主祇缘隆帝子
管他明月下不下西楼。	任他明月下西楼	任他晻晻下西楼	直教明月下西泠	任教明月下西洲
一曲清越的歌声之后，月色显得十分皎洁。	清歌一曲月如霜	一曲秦楼月似霜	一曲清歌月满林	一曲清歌满船月
老人今年八十几岁了。	老人今年八十几	老子今年八十三	老母今春年七十	老母今年八十馀
看先生这个样子。	乃知柳子语不妄	乃翁一语不曾听	须知父子不传底	夫子乃是知我者
见你来就防着你虽然是多此一举。	即防远客虽多事	谁云野客无多事	倦客偏逢多事日	即看饮食皆多事
穿着狐皮袍子在城外打猎。	狐裘蒙茸猎城下	狐白蒙茸野气昏	蒙蒙寒雨湿裘茸	狐裘蒙茸沙碛里
春风中入们饮遽了饯行的醇酒。	人立东风酒半酣	斜倚东风酒半醺	背立东风酒半消	徙倚东风酒易醺
策马扬鞭，一片葱绿在半空飘飞。	走马捎鞭上空绿	鸣鞭走马又翻身	裹袖寒鞭马上垂	走马争先眼著鞭
却常常听到有人被淹死的消息。	时时闻说有沉沦	时时闻说有沈沦	时人艳说有长生	时时开说前贤事
只得轻轻将小扇收入袖中。	轻轻褪入香罗袖	队队轻衫香笼袖	轻轻小袜制香罗	轻轻舞汗初沾袖
筑堤用的竹石虽堆积如山也不敢再去冒险。	竹石如山不敢安	白公妓可如安石	真如安石卧东山	安石东山志不渝
温暖馥郁的香风把人吹得醉醺醺的。	暖风熏得游人醉	暖风薰得游人醉	暖气薰人浑欲醉	薰醉游人是暖风
真怜那无定河边暴弃的粼粼白骨。	可怜无定河边骨	可怜无限东征骨	可怜白骨满交河	无定河边木叶霜
忽然奏起出塞入塞之声。	忽作出塞入塞声	山下流泉入塞声	莫作寻常出塞声	入塞声为出塞闻
家中如有田地不回宁如奔逝之江水。	有田不归如江水	薄有田园胡不归	不如流水归乌有	纵有田归不耐耕
在这春风乍起的日子，我所乘的船停泊在苏州城外。	水国春寒阴复晴	水国春寒阴后晴	泽国春阴水作烟	寒生水国半阴晴
辅佐两代君主的老臣忠心耿耿。	两朝开济老臣心	两朝密勿重元臣	两朝开济政明昭	三朝劻辅老臣忠
在那秋冬间寒冷的时节，来听这滔滔的江声！	天寒来此听江声	夜半寒江听雁声	天寒共此柝声闻	西来饱听郁江声
有似昏灯里，纺织娘啼叫着催织寒衣。	衰灯络纬啼寒素	疏灯络纬满林秋	北窗络纬寒声急	寒灯络纬夜三更
保持精神心灵清明澄澈。	保神明之清澄兮	澹然独使神明存	昭明有意在澄清	显幽利兮神明完
历经万难文姬回故乡。	红泪文姬洛水春	弃养流红泪卅春	文姬红泪泣胡笳	红云照水春将暮
寥落寒山空对冷寂的窗牖。	寥落寒山对虚牖	寥落关山对月明	寥落草堂虚月色	谁能寥落对孤僧
车马奔波是富贵人的乐趣所在。	车尘马足贵者趣	试问车尘马足者	日日车尘马足间	已在车尘马足间
翠绿的萍叶和银白的浪花清澈见底，	翠叶银花清见底	翠叶银花压帽偏	翠叶瑶花凉露飞	翠叶银花水镜凉
凋零落败的花朵也会重返故林。	落花辞条归故林	风里辞条遂不归	落花一去不归林	落尽庭花尚未归
冬去春来，江上舟来舟往，又有几人得以还家。	春生江上几人还	江上诗人今又还	春来江上雁知还	春来江上几人还
狂写风吹落帽那样的诗篇，定能胜过那孙盛、孟嘉！	可能无地落乌纱	独能无地落乌纱	问君何地落乌纱	可能无泪湿衣巾
一群小燕子小麻雀却在那里噪聒：落毛的老鹰不如雀，哈哈。	寄言燕雀莫相啅	莫言鸿燕多相背	寄言鸾凤莫相嗔	寄言关吏莫相猜
头似龙，颈似凤，有狞恶有俊妍。	龙颅凤颈狞且妍	纸虎茅龙作态狞	龙姿凤质满中原	龙姿凤质照珊瑚
一起被贬谪的大都已回京。	同时辈流多上道	甚与时流道不同	明知儒道本同流	同门才藻说时流
身在远处就看到预先约好的火号到处亮起。	遥看火号连营赤	烽火连营铸铜鼓	烽火连营倒义旗	将军夜宿火连营
花费了多少人力和财力。	鬼役天才千万古	天地谁偷万古闲	天人影响从千古	千古奸雄皆欲鬼
永元年的荔枝来自交州。	永元荔枝来交州	元夕来监舍畔州	忆昔涪南献荔枝	荔枝卢橘自南来
吊影伤情好像离群孤雁。	吊影分为千里雁	西风雁影人千里	千里归心雁影前	秋后见飞千里雁
炉火暖融融华烛添光辉。	铜炉华烛烛增辉	宝檠兰燄九华烛	华堂灯烛影摇红	休烧华烛列铜盘
而葑田块块，在水面上零星飘荡，又仿佛是棋盘上割下来的方格子。	零落棋枰葑上田	棋枰零落葑田稀	画出棋枰早稻田	晴湖水落葑田干
远望暮色苍茫洛阳树色依稀可辨。	洛阳树色鸣皋烟	汉阳树远江烟起	汉阳春暮树含烟	洛阳花色动云烟
北伐降伏犬戎多象轻易地驱使走狗。	北伐犬戎随指嗾	西蹙犬戎威北狄	北面倾心事犬戎	将军北伐逐胡雏
围绕着杏花的是满塘的春水，岸上的花。	一陂春水绕花身	一陂春水白鸥天	一篙春水落花深	一陂潭水绕花身
谈笑风生却难忘我们即将分别。	谈笑难忘欲别前	酒前欲别语难尽	欲别难为越俎谈	当时欲别言难尽
是谁招引来着断肠的惊魂。	是谁招此断肠魂	欲赋招魂恐断肠	谁怜妾是断肠人	谁知此是断肠声
也希望长辈的栽培可以带着孩子们上青云之端。	带将儿辈上青天	都将舌上青莲子	眼看流辈上青云	小车儿上看青天
可是戍守边关的人还在玉门关的西边。	戍人犹在玉关西	故人犹在驿亭边	夫戍关西妾在东	闻道玉关犹遣戍
此时虽大地回春，万物欣欣向荣，但人却老了。	万物皆春人独老	万物得时人自老	万物皆春我独秋	人静万物争春妍
三峡的江声似乎流入我笔底。	三峡江声流笔底	三峡胸中笔倒流	笔底滔滔三峡流	流水夜传三峡声
站在潭州向北直看长安，像是在望天上的白云。	云白山青万余里	云白山青只尺间	云白山青万古春	云白山青万里天
愿将门帘贴上双飞的绕着花木梁的燕。	好取门帘帖双燕	穿帘小燕双双好	便好珠帘为燕开	惟有帘前双燕子
诸君有哪位可怜这匹年老的天马，请您赎献给穆天子，它虽不能出力拉车了。	请君赎献穆天子	侍臣万寿献天子	此物烦君献天子	请陈上策献君王
秋天的蝉声叫得就像古筝洪亮的音响。	戛戛秋蝉响似筝	朱弦戛响韵天成	戛玉湍鸣夏似秋	响戛风筝杂雁声
可怜将士白骨，聚集成千形成孤坟。	可怜白骨攒孤冢	可怜孤冢平郊外	可怜白发孤村里	可怜青冢埋香骨
早朝的百官曙色中走进辉煌的宫殿。	九天阊阖开宫殿	九天阊阖觐龙光	九天阊阖瞻新主	九天阊阖悉开扃
浑圆的太阳运转起来像旋转的珠子一样不停息。	圆转如珠住不得	愁泪如珠禁不得	素珠时迸不成圆	十万转盘珠不定
又把剩下的上市场去出售。	次把升斗求市人	且学斗鸡都市里	斗升谁乞向隅人	贫求升斗亦人情
遥远的蓬莱岛有永不消失的清凉。	蓬莱之远常遗寒	到此蓬莱知不远	蓬莱虽远自当回	蓬莱犹恨弱水远
面对离别仍心怀悲戚涕泪连连。	衔悲揽涕别心知	伤心知己千行泪	别馆伤心双泪连	握别衔知思万重
而我依然怀着一腔孤忠日夜想着报效君皇。	犹耿孤忠思报主	孤忠报主今应少	但有孤忠报圣朝	犹有孤忠可报君
兄弟姐妹都因她列土封侯。	姊妹弟兄皆列土	弟兄遘难人皆惜	弟兄四海尽皆无	君家兄弟果皆难
既像在垂手而舞，雕玉佩饰正零乱翻动。	垂手乱翻雕玉佩	月里罢摇雕玉佩	垂手乱翻随意拾	宿露低垂苍玉佩
荷花与荷叶长期互相交映，当荷叶掉落。	此花此叶常相映	名花何意此相看	还似此花并此叶	如此好花如此月
最好脱掉文人的帽子去当一个武官。	好脱儒冠从校尉	脱却儒冠已自闲	脱却兜鍪强学儒	欲脱儒冠从甲胄
几颗松树稀稀疏疏只为朗朗月光能照射进庭院。	疏种碧松通月朗	疏松修竹赤光通	松篁月印当窗影	庭闲月色疏松落
请你收敛心神沉潜道义。	要须心地收汗马	心地勤收汗马功	汗马收功正此心	心地一朝收汗马
我只好顶着珠帘般的细雨，在依稀闪烁的灯光中黯然归来。	珠箔飘灯独自归	灯飘珠箔玉筝秋	珠箔飘灯归去晚	珠箔垂楼笑独倚
轮台路上战马难以走过。	轮台路上马蹄滑	马蹄愁滑路难寻	道上丰泥没马蹄	路长马怯惊蹄滑
但这支船队载到扬州后再也没有回还。	载到扬州尽不还	不载南州一物还	春风共载扬州路	不来随我到扬州
杨玉环随李隆基流亡蜀中，途经马嵬驿，禁军哗变，玄宗无奈，只得下令38岁的杨贵妃自缢。	贵妃胡旋惑君心	荧惑君心君眼眩	君心有欲神不违	行心更贵不欺心
进山三天得以有它伴我同行。	入山三日得同行	山行三日厌泥行	到城应许日同行	山行全似三春日
万里奔波渡过黄河绕过黑山。	万里黄河绕黑山	云山万里向沙河	万里黄河一线流	九曲黄河绕黑山
入秋的夜总是格外清冷，心中亦是顿生寒意，凄凉之感袭来，好似一江碧波江水正摇撼着这楚国寺。	寒生晚寺波摇壁	半篷寒影带波摇	晚风野寺生微波	四面波澜摇画壁
穿上衣服推开枕头出了睡帐。	揽衣推枕起徘徊	推枕徘徊起坐时	揽衣推枕出门去	矮衣屡舞起徘徊
一个刚刚经过修饰打扮，从清澈明净，风景优美的鉴湖中走出来的采菱女。	越女新妆出镜心	越女梳头青镜中	越女妆成掩镜心	越女晓妆秋镜里
我像屈原一样喜爱这天生的美树。	方同楚客怜皇树	佩同楚客独怜芳	独怜野性同皇橘	聊同楚客怜芳草
心甘情愿随他进入如岛的白云。	不惜相随入岛云	恨不相随并綵舟	自怜不得相随去	不随花岛作江云
潮廷滥施厚赏收买诸将。	东征日调万黄金	黄金日调水犀兵	何劳日调万黄金	东征筹笔调黄金
您到那里一定也有这样的逸兴。	应写黄庭换白鹅	换鹅还为写黄庭	时写黄庭换白鹅	写就黄庭换白鹅
宫中的金盘仍在承接玉露。	金盘玉露自淋漓	一盘清露玉淋漓	汉宫金掌露淋漓	金盘玉露凝仙掌
剑南此时正是腊月前的春景。	剑南风景腊前春	江南风物在新春	近南风景不曾秋	南地风光腊月前
渡口的杨柳柔条飘拂。	津亭杨柳碧毵毵	春堤杨柳绿毵毵	江城杨柳绿毵毵	邮亭弱柳碧毵毵
是否还能在上蔡东门牵鹰打猎？	上蔡苍鹰何足道	头上进贤何足道	堂上横刀何足问	苍狗白衣何足道
弹奏琵琶，扭扭疯疯，呼唤上天诸神和冥界诸鬼。	呼星召鬼歆杯盘	聊呼儿女具杯盘	时唤杯盘佐老饕	吹螺召鬼鬼不来
鬓发如云脸似花头戴金步摇。	云鬓花颜金步摇	行摇云髻花钿节	玉貌花颜金步摇	扬蛾委睇金步摇
后蜀国的君王城楼上竟然竖起了白旗。	君王城上竖降旗	城上旌旗拂弩台	城头忽竖海王旗	孤城未肯竖降旗
我的家乡也都是亲人。	亦有亲情满故乡	只为慈亲乐故乡	那有閒情忆故乡	故人况有故乡情
积集九重阳气进入帝宫。	集重阳入帝宫兮	华阳今帝有新宫	九重天上帝王宫	九重宫阙帝皇家
天地精华他们都能融会贯通。	九精耿耿贯当中	双星耿耿中天耀	中藏耿耿寸心丹	丹心耿耿贯长虹
点缀着商山团练副使的家。	妆点商州副使家	妆点商山副使家	装出儋州副使家	妆点冰霜御史家
微波荡漾如龙鳞闪闪万草碧绿。	微波龙鳞莎草绿	微波岸芷金鳞跃	御沟波澹碧龙鳞	波生鸭绿草铺茵
从古到今的事无尽无休。	古往今来底事无	古往今来事不同	今来古往无穷事	古往今来只如此
空庭里只有老鼠跑来跑去。	横庭鼠径空土涩	荒庭老树半空腹	旅葵横径觉庭荒	苍藓满庭行径小
在纷飞的大雪中去看那点点葱翠。	留向纷纷雪里看	留与纷纷雪里看	纷纷如看雾中花	好山留向雪中看
锣声响彻重鼓棰声威齐出山海关。	摐金伐鼓下榆关	摐金伐鼓放舟行	摐金伐鼓耀神州	伐鼓摐金阅五兵
高卷珠帘遍插红烛再整酒席；	高卷珠帘列红烛	高卷珠帘看雪飞	卷帘方影侵红烛	高卷朱帘明点烛
山泉绕着街道缓缓流去。	山泉散漫绕阶流	飞泉绕地沛流通	溪水循盘散漫流	随意清泉绕屋流
柳絮和树荚竞相飞扬。	柳花榆荚斗身轻	杨花榆荚浑如许	一庭舞絮斗身轻	柳花榆荚半飞空
斡旋处置游刃有余。	世人见我轻鸿毛	教人见我鬓边霜	世人回看轻鸿毛	人生处世一鸿毛
所有的功名事业都随流水东去。	功名事迹随东流	功名随尽二流长	踪迹又随流水东	陈迹总随流水逝
刺杀斑豹流鲜血，注入银瓶痛饮。	刺豹淋血盛银罂	拔刺银刀似脍残	淋漓汗血尚斑斑	银罂豹血争刘项
千问万问，总不肯说出自己姓名。	问之不肯道姓名	试问佳期不肯道	久不逢人道姓名	问人都道不知名
是嫌衣服上少绣了金线花。	为嫌衣少缕金华	为嫌多露湿荷衣	轻寒未放缕金衣	夕月织为金缕衣
天上人间总有机会再见。	天上人间会相见	天上人间各有缘	人间天上已相辽	天上人间不相见
花前一枕午睡，竹席清凉如水波欲流。	午枕花前簟欲流	半榻风回枕簟清	午榻阴生枕簟凉	午枕欲抛铛正沸
天子的仪仗排列在玉阶两边，环拥着百官进入朝堂。	玉阶仙仗拥千官	云移仙仗千官肃	彤墀乍拥千官仗	玉阶仙杖拥千官
二月里多觉一天总是昏昏然。	二月饶睡昏昏然	老夫饶睡昏昏然	春睡昏昏颇泥人	看书作睡政昏昏
明月照向城头乌鸦纷飞。	月照城头乌半飞	城头月黑乌栖夜	城乌半夜惊飞起	落月城头乌夜啼
玉辇绕着花丛而行。	天回玉辇绕花行	天回宝辇款虞庠	莫随玉辇向西行	天回玉辇转从容
李斯以自己悲惨的结局为苦。	李斯税驾苦不早	华胥税驾不应迟	临川税驾忽数月	华胥税驾不多程
他们英姿飒爽好象是正在酣战。	英姿飒爽来酣战	英姿飒爽犹横槊	英姿飒爽气雄哉	麟阁英姿随爽气
淮河中流线以北就已经天尽头了！	中流以北即天涯	一水中流天地间	南流一水接天涯	一江南北即天涯
但菜畦地里今天来的蝴蝶分外的多。	菜畦今日蝶来多	蝶飞多傍菜花畦	菜园此日来羊脚	尽日南园蛱蝶多
边疆无数士兵流血形成了海水。	边庭流血成海水	流血成河暗本原	血流大地终成碧	膏血成河遍地流
不能说塞北没有春天到来，但由于遍地风沙，不见青草。	莫言塞北无春到	莫言无雁到南州	莫言塞北春风少	莫道天涯无雁到
当今的人讥笑，指责他留下的文章。	今人嗤点流传赋	至今词赋压人流	后人嗤点凌云赋	嗤点流传畏后生
寻得芳菲不觉被美酒陶醉。	寻芳不觉醉流霞	欢娱不觉霞流绮	寻芳无处醉流霞	莫辞春酤醉流霞
怎么样才能把甲胄兵器铸作农具。	焉得铸甲作农器	我意转销作农器	但得务农销战甲	行看铸剑为农器
寄语中的誓言只有君王和我知道。	词中有誓两心知	心词密誓两难凭	有道论心知己少	共姜有誓心难变
又告诉青鸾神鸟将宓妃远迎。	腾告鸾鸟迎宓妃	远以鸾骖会宓妃	紫鸾朱凤自来迎	青鸾何处迎飞佩
皇上就像那天上明月高不可攀只能于梦中听那车轮滚动的声音。	明月羊车梦里声	羊车梦里辘轳声	带月鸡声梦里催	五月鹃声梦里听
英雄割据的时代一去不复返了。	英雄割据虽已矣	英雄割据已焉哉	英雄割据总如斯	三国英雄终割据
另有人在水流中央采摘菱叶和荷叶呢。	别有中流采芰荷	中流荷芰藏仙客	却恨中流满芰荷	秋池更有芰荷衣
只有产生于凉州的动人歌舞乐曲。	唯有凉州歌舞曲	惟有离宫歌舞地	还似扬州歌舞日	还有吴娃旧歌曲
传说一旦开战连众神灵都发愁。	传闻一战百神愁	一战先闻定百蛮	百战难收一战功	百万魔军一战收
那里有一种花，人们都不曾见识。	其间有花人不识	世间少有识花人	岂有人间不落花	莫谓座间人不识
水面上倒映着睛空的云朵，这风景让我回忆起在帝京的日子。	风景令人忆帝京	令人却忆桐川路	风景令人忆谢端	几度令人忆上京
可怜王昭君的青冢已经荒芜埋没。	可怜青冢已芜没	青冢青衫芜没久	白屋谁怜青草没	可怜旧业荒芜尽
做文章时文思如潮，挥洒自如。	凌云健笔意纵横	纵横正有凌云笔	凌云健笔长馀綵	彩笔凌云独纵横
每天太阳从东方升起的时候。	日出扶桑一丈高	日出扶桑照海红	日出扶桑万丈红	坐观红日出扶桑
从书本上得来的知识毕竟不够完善。	纸上得来终觉浅	也从纸上得张程	向来纸尾得黄初	迩来自觉笔头乾
江流曲折就像九转的回肠。	江流曲似九回肠	江流宛转似回肠	萦纡径曲九回肠	江流却似九回肠
如泣如诉的琴声达到顶点时戛然而止。	弦凝指咽声停处	弦管声停笑语阗	独弦呜咽杯声急	掩抑危弦咽又通
峨眉山月又将随风伴送您西入长安。	风吹西到长安陌	西风吹不到长安	好风吹我上长安	黑风吹雨出长安
河边的云，水面的风，都像从老竹林里生出。	水风浦云生老竹	风来南浦水生鳞	竹引水风生晚凉	流水白云生晚凉
树荫倒映水面是喜爱晴天里柔和的风光。	树阴照水爱晴柔	绿树阴浓碧水寒	绿树团阴多映水	老树浓阴水一方
她弹熟了琵琶能歌善舞。	惯弹琵琶解歌舞	能弹琵琶唱乐府	吹弹歌舞拨琵琶	犹拨琵琶唱艳歌
骑马回头还在大梁田间巡行。	归骑还寻大梁陌	倦客还寻紫陌来	放归绉骑独寻山	可堪归骑临晴陌
男子汉大丈夫为什么不带上锋利的吴钩。	男儿何不带吴钩	丈六男儿不奈何	儿孙锦带挂吴钩	男儿何处不宽心
当年手植的千株柑树已经属于邻家。	木奴千树属邻家	木奴千树寄林垌	木家花杼遍邻家	木奴千树何须问
所以筑城的官员功劳很大获得了升迁。	筑城功高除美官	一旦专城得美官	理官高选出新除	立功绝域取高官
仙人形的烛树光芒四射，轻烟濛濛。	仙人烛树蜡烟轻	蜡烛轻烟汉五侯	仙人宿处紫烟孤	蜡烛轻烟丹凤阙
穿着裘衣戴着帽子离开了家。	风裘雪帽别家林	风裘雪帽返家林	雪裘风帽台州去	露裘风帽夜深寒
每逢节日加倍思念远方的亲人。	每逢佳节倍思亲	每逢佳节倍多亲	更逢佳节倍相思	每逢佳节倍伤神
而独秀峰更是首屈一指。	独秀峰尤冠其首	恰似秀峰空首座	祝融独秀压群峰	独秀峰高苏子名
那是南边花园绿草地上飞蝴蝶的时候——春天。	南园绿草飞蝴蝶	南园草绿故飞飞	庭前绿草飞蝴蝶	东风草长飞蝴蝶
屋里的书生枉自忧愁，因为决明的日渐凋谢而心生烦恼。	堂上书生空白头	堂上春风有白头	书生空白少年头	书生忧愤空头白
它护卫着花朵不受风雨袭击而偏斜。	莫遣金心带雨斜	金带莫愁迟莫意	莫遣心随粉黛移	莫把芳容带雨夸
从前隐居的心事已经徒然。	旧时心事已徒然	当时心事已相关	旧游心事念多违	无限旧时心里事
牛羊践踏，大片春草变狼籍。	牛羊践履多新草	牛羊践履真堪惜	陇卧牛羊春短草	牛羊践踏成官道
风吹起，衣袂空中举，荷香体香共飘荡。	风飘香袂空中举	风飘仙袂净香尘	风飘轻袂香初冷	风飘香袖空中举
波光摇乱云影浮着紫色翠色。	云乱水光浮紫翠	云影溪光紫翠重	水光山色翠连云	杯浮紫翠岚光漾
听歌看舞淹留在豪华﹑珍贵的玳瑁宴席。	歌舞淹留玳瑁筵	来醉襄王玳瑁筵	绮馆留宾玳瑁筵	舞罢斑衣玳瑁筵
而王大娘的长竿更是鹤立鸡群，惊险美妙无比。	唯有长竿妙入神	秋来唯长鹤精神	画手惟君妙入神	壁上龟蛇妙入神
而山边溪间的小路上仍生长着许多梨花。	山溪野径有梨花	野径梨花正烂开	野村溪畔有桃花	山蹊野径有梨花
希望迎接你一同邀游太清。	愿接卢敖游太清	手挈卢敖上太清	汗漫相将游太清	愿接庐敖问太清
落叶满台阶长久不见人打扫。	落叶满阶红不扫	梧叶满阶谁扫尽	落叶满阶风自扫	霜叶满庭红不扫
你们的才力应难以超越上述几位。	才力应难夸数公	枚数人才难倒指	才力虽难敌楚骚	才力难堪丈人敌
我对情郎的思念如西江之水延绵不绝，流水有多长，我的思念就有多久。	日夜东流无歇时	逝水东流无尽时	清流昼夜无时息	日夜东流不待人
这是从我江南老家摘下的云腴茶。	我家江南摘云腴	我家草堂南涧滨	我家江南同野老	我家匡山云霞庐
灯花预报的吉兆再一次毫无应验。	灯花占信又无功	会许灯花报晴信	喜占春信对灯花	一番花信又明年
天上一天就是人间百年，让我，怎能不伤怀摧心。	海尘新生石山下	山童遥指海尘生	黄山门下海潮回	海珠山下寒潮生
鬓深钗暖，如春云侵脸。	鬓深钗暖云侵脸	鬓雾鬟云衬脸红	钗横绿坠春云鬓	凤钗金冷鬓云凋
朋友们这时在南桥应该玩得正是尽兴。	公子南桥应尽兴	公暇挥毫应尽兴	公馀且尽登临兴	谢公不少南楼兴
你用了那么多兔毫笔，难怪中山的兔子都被杀光了。	笔锋杀尽中山兔	笔阵仍推兔作锋	秃尽山中顾兔毫	挥毫杀尽山中兔
汉文帝求贤，宣示召见被贬臣子。	宣室求贤访逐臣	宣室求贤正如渴	宗室求贤访逐臣	宣室翻思放逐臣
夜来肆虐着暴雨狂风。	夜来雨横与风狂	夜来风雨得无狂	夜来急雨战惊风	夜来风雨欲腾空
那高高的画船，系在春水边，一动不动，它在等谁。	亭亭画舸系春潭	一舸亭亭逐浪斜	亭亭画舸青青柳	画舸寒江江上亭
此情此景，倒象是后园的桃树。	应似园中桃李树	园中桃李千万树	应笑西园桃与李	却喜故园桃李树
在烟波里每天划船钓鱼。	烟波日日钓鱼舟	烟艇何妨日钓鱼	日日烟波理钓槎	维舟日日钓鱼矶
海内连年战乱，几个兄弟音讯阻隔。	海内风尘诸弟隔	万里风尘诸弟散	风尘诸弟隔天涯	即今海内风尘暗
东邻西舍界限分明彼此不相侵。	东邻西舍无相侵	东邻西舍浑相似	东舍西邻走相慰	东西相去若比邻
在这芦花被风吹动的飒飒声中我更觉忧愁。	飒飒芦花复益愁	飒飒西风两岸芦	芦花如雪动边愁	霜风飒飒荻花洲
去过那种坐白石而赏清月。	盘白石兮坐素月	扫石岩头坐月明	盘回白石净无泥	蒲团石上坐明月
上升千里只需一刻。	上行千里下一刻	一行水陆馀千里	更行二万三千里	太行直上犹千里
博取功名全靠着好箭法。	须凭弓箭得功名	犹须境外立功名	弯弓徒自诧功名	功名分有终须得
还能够一年一度回到江南。	一年一度到江南	一年一度过重阳	一年一度到中原	一年一度上京华
拂晓，隆隆的鼓声催促着太阳的运行。	晓声隆隆催转日	节届重阳晓漏催	钟声催出日重轮	筹唱有声催短日
但这些已经不是去年的故人了。	不是村中旧主人	山人不是此中人	况是湖山旧主人	便是其中旧隐人
夜暮了，还飞进延秋门上叫哇哇。	夜飞延秋门上呼	延秋门外走踆踆	莫向延秋门上叫	往日延秋门上呼
出战时常坐骑好马。	登阵常骑大宛马	玉花骢马大宛来	中贵多骑大宛马	战士常骑突阵马
喝醉了就要在桃花下睡觉。	酒醉还须花下眠	荔酒醉眠花下榻	爱酒客来花下醉	遇酒须倾醉即眠
振袖倾鬟在风露前。	振袖倾鬟风露前	酒酣起舞风前袖	两袖晓风荷叶露	不管风鬟露满衣
那夜的天，正如那晚在长生殿嗤笑牛郎织女的天。	当时七夕笑牵牛	牵牛七夕乱山中	当年笑我泣牛衣	何须七夕笑牵牛
有个朋友刚刚从赵国回来。	有客新从赵地回	有客新从魏地来	有客新从泮水游	有客新从鹤柘回
廷尉府门前的树上有雀鸟想休息。	廷尉门前雀欲栖	廷尉门前叹雀罗	门寂不罗廷尉雀	莫惊廷尉门犹暖
他们笑着询问我：这客人是从哪里来的呀？	笑问客从何处来	要问客从何处来	莫问客从何处来	自问个从何处来
月亮从城头落下去，早晨的霜厚得像雪一样。	城头月落霜如雪	城头月没霜如水	城头秋月白如水	榆林城北霜如雪
白沙，夜晚船只停泊在秦淮边靠近岸上的酒家。	夜泊秦淮近酒家	夜泊秦淮卖酒家	旅泊奔牛近酒家	秦淮潮上酒家门
