高楼上谁穿着青袍眺望，就像望春台边随风飘扬的青旗。	青旂遥倚望春台	青山遥望下邳门	春旗已在望春台	旌旗遥倚望春台
好比年迈的阿婆还如刚刚及笄的女孩。	阿婆还似初笄女	应记阿婆初嫁时	何似阿婆牛背稳	女儿娇媚似当初
却把真正的凤凰抛弃。	楚客羞山鸡	楚人重山鸡	楚客竟为囚	楚客莫咻齐
楼船划破湖面急促前进，惊起阵阵波浪。	楼船蹙沓波浪惊	楼船万里沧波涌	楼船波浪大江中	倾江波浪作惊湍
七十岁老人别无所求。	七十老翁何所求	七十年来老道翁	修竹老翁何所求	老翁七十亦何求
当你怀念家园盼归之日。	当君怀归日	怜君未归日	君当何日还	远望当归日
远看天边的树林活象是荠菜。	天边树若荠	天边远树齐	平林树若荠	天边梅柳树
正是养蚕农忙时节。	蚕事正忙农事急	农事正忙三月后	蚕事忙时三月中	春雨督耕农事急
盖棺之后仍是流言四起，孤独的灵旗在寒风中冻凝不扬！	孤旐凝寒颸	孤雁入寒塘	孤渚凝寒睇	孤雁入寒云
百无聊赖时手执团扇且共徘徊。	暂将团扇共徘徊	且将白发共徘徊	且将团扇暂徘徊	暂停兰棹共徘徊
战马思念边草拳毛抖动。	马思边草拳毛动	胡马嘶风思塞草	夕阳衰草马毛拳	马衔秋草尚思边
他们便立刻在乡吏簿籍中重新恢复了自己原来的姓名。	乡吏籍中重改姓	乡认当时非姓郑	几车书籍重新迁	故吏犹应记姓名
来日我登上高山顶，向北遥望故乡，抑或能看到：那山头上初放的红梅。	明朝望乡处，应见陇头梅。	明朝过大庾，应见岭头梅。	明朝出海望，应见黑云低。	日夕望乡处，况当梅发时。
我受到夫主的看重，宠爱集于一身。	一身当三千	一实三千年	一艑载三千	一醉三千春
在边塞再次纵横驰骋。	关塞重横行	横行塞北尽	关塞重门下	关塞重回首
更何况秦地的士兵又能够苦战。	况复秦兵耐苦战	况复频年苦甲兵	分耕乍息秦兵战	遥闻苦战有奇兵
黎明笛声响起大军起程。	平明吹笛大军行	月明吹笛看天河	阴山吹笛大军行	为待先生吹笛行
络绎不绝。	金鞭络绎向侯家	络绎舟车向此停	翠络金钩向马垂	金羁络绎花边马
太白星向我问候。	太白与我语	欲与道人语	坐与此君语	林间尝与语
令人在画前心胸高远。	使人对此心缅邈	佳人渺邈心相照	主人对此心飘邈	欲对何人话此心
蜡烛的余光，半罩着饰有金翡翠的帷幕。	蜡照半笼金翡翠	烛影乍遮金翡翠	宝髻巧梳金翡翠	翠袖半笼金约臂
香炉峰瀑布与它遥遥相望。	香炉瀑布遥相望	瀑布香炉在望中	浮空瀑布远相望	香炉瀑布微如线
我的随从们都有不满的表现。	从者有温见	死者如有知	或者一见亲	从风或有闻
马蹄笃笃没有一刻偷闲。	马蹄无暂闲	车马无时闲	无心住马蹄	无事马蹄间
到那时缀满嫩绿的柳条看上去正好像轻烟笼罩一般摇曳多姿。	条条看即烟濛濛	归欤烟雨濛濛景	要看烟雨澹空濛	非烟御路晓濛濛
多少情人在此伤心别离。	一渠春水赤栏桥	碧水红栏玉蝀桥	桃花春水赤栏桥	一溪春水绿平桥
他要聘茂陵一女子为妾，卓文君十分伤心，作《白头吟》以相赠。	一朝将聘茂陵女，文君因赠白头吟。	毕竟俳优商贾事，文君还有白头吟。	花时欲作闲情赋，叵奈文君已白头。	重聘茂陵今已晚，不须多赋白头吟。
青溪小姑住所，本就独处无郎。	小姑居处本无郎	居处何缘问小姑	小姑居处独无聊	小姑居处尚无郎
内心却象灵犀一样，感情息息相通。	心有灵犀一点通	自是灵犀一点通	心有灵犀点点通	只有灵犀通一点
黔州府更不知在何方？	黔府古河边	古治郡东边	筑堑古边州	开府大河滨
雌雄双燕，空中叫喊。	雌雄空中鸣	雌雄互饮啄	雌雄惊剑合	雌雄鸣且酬
一旦天子垂顾，加以佛拭之恩，我则尽心竭力以尽忠心。	一朝君王垂拂拭，剖心输丹雪胸臆。	仓皇爨下荷拂拭，未孤衔恩一片心。	发肤之外皆君赐，妾自倾心君不知。	君怀一匹胡威绢，争拭酬恩泪得干。
虏骑互相践踏是怕遇蒺藜。	虏骑崩腾畏蒺藜	虏马崩腾忽一狂	寻常虏骑灭旄头	午夜崩腾玉马飞
几个朋友聚在一起，饮酒吟诗。	月满谢公楼	月净庾公楼	月上谢公湾	月白庾公楼
竟对鹓雏的爱好也猜忌不休。	猜意鹓雏竟未休	猜意鸳雏竟未休	寄意鹓雏漫滞淹	呶呶猜意向鹓雏
所以修建的。	恐子就沦灭	久疾遂湮沦	幸不竟沉沦	夫子嗟沦丧
从此四海之内永远一家人。	从今四海永为家	而今四海共为家	从知四海永为家	四海为家真此日
驿路在西原山上穿行，看起来就像挂在城头似的。	西原驿路挂城头	西山片月挂城头	望入西江驿路长	西风日落中原路
画眉的黛烟也在手巾上留下了点点斑痕。	痕眉染黛烟	泪痕损眉黛	修眉染碧烟	眉黛染胡尘
醉中高唱《白云歌》。	颓然白云歌	怅然歌白石	空歌白云辞	醒时白云歌
辛辛苦苦忙了三十天。	辛勤三十日	辛勤三十载	岁馀三十日	辛勤六十秋
好像是刚刚酿好还未曾滤过的绿葡萄酒。	恰似葡萄初酦醅	葡萄泼瓮酒初熟	恰似蒲萄初酦醅	溪面葡萄初泼醅
汉武帝发誓修造金屋，用来贮藏心爱的阿娇。	金屋修成贮阿娇	金屋长年贮阿娇	筑成金屋贮阿娇	金屋何时贮阿娇
今晚巴山下着大雨，雨水已涨满秋池。	巴山夜雨涨秋池	山堂寒雨涨秋池	巴山夜雨梦初园	秦淮夜月巴山雨
银河流泻无声，皎洁的月儿转到了天空，就像玉盘那样洁白晶莹。	银汉无声转玉盘	银汉无声度素娥	银汉无声斗柄斜	银汉无声玉漏沉
年轻力壮射杀山中白额虎。	射杀山中白额虎	多异山中白额虎	山中白额还遭打	分明射中南山虎
零落的桂花瓣，如同一颗颗玉珠从月亮下边撒落下来。	玉颗珊珊下月轮	玉骨珊珊引梦长	小步珊珊下玉阶	玉骨珊珊月下归
关山万里做着回家之梦。	还家万里梦	还家万里途	还家万里遥	思家千里梦
庭院天井中生出的桃树和李树，花开在初春季节，分外艳丽。	桃李出深井，花艳惊上春。	路边桃李木，犹发小春花。	烛吐莲花艳，妆成桃李春。	何限新桃李，春来树树花。
自己在那江头种下的橘树。	江头橘树君自种	君家自种淮南树	千树黄柑应自种	江头种树记新年
在辽阔的江湖上面自由飘荡。	五湖烟水独忘机	五湖鸥鸟共忘机	五湖烟水一渔蓑	五湖烟水一闲身
天下再没有受寒挨冻的人。	天下无寒人	天下岂无人	斯人天下无	天下非无士
吴越之人多好客之风，你此去可能要待很长时间，乐而忘返了。	此中偏重客，君去必经年。	从来为客久，此别只经年。	此地同为客，当秋独送君。	为客偏怜客，逢君又送君。
灞原上的秋风细雨初定。	灞原风雨定	江秋风雨多	风雨暗高原	九原风雨夕
看着老婆婆远去的消瘦的背影，不知不觉，眼泪流下来。	不觉泪沾裳	不觉泪沾须	不觉易沾巾	不觉泪沾衣
思想渗透在风云变幻之中。	思入风云变态中	风云变态知何限	风云变态诚如梦	思入空云千态变
就连以长寿著名的仙女麻姑。	麻姑垂两鬓	两鬓已成苍	风霜两鬓垂	麻姑鬓似新
麝香熏透芙蓉似的纱帐，软软轻轻。	麝熏微度绣芙蓉	花绣芙蓉浓艳吐	芙蓉帏寂暖香笼	水精帘箔绣芙蓉
却不知赠送给谁吃。	不知饴阿谁	不知是阿谁	不知谁氏子	不知谁氏女
碧纱窗下有如花美眷在等着他。	绿窗人似花	窗中人似梦	人言妾似花	长梦绿窗人
派遣的一支队伍捉住了金国国主。	偏师缚可汗	何庸伐可汗	偏师亦自提	未擒可汗日
门后的屏风上画着开屏的金孔雀。	屏开金孔雀	屏开孔雀尾	椰开孔雀屏	孔雀千屏展
那些曾经在秦淮河身边风流一世的六代人物，如今都在哪里。	六代精灵人不见	厓海精灵终不散	六代豪华今不见	六代精灵在月中
夫君就可以结束漫长征途。	良人罢远征	故人方远征	良人远行役	良人远行迈
我们一起隐居，当个好邻居。	当与尔为邻	当与尔为群	更觉尔为邻	卜与尔为邻
岂敢不管公家之事。	讵肯无公事	公退无他事	无能了公事	老子无公事
像东风里花柳争换得形色簇新。	东风花柳逐时新	绽花开柳逐年新	东风杨柳自新条	向年花卉逐时新
精卫填海只能是空费木石。	精卫费木石	精神难透石	精藏树石年	精卫已衔石
枝叶是多么茂密。	柯叶自绵幂	叶叶自绸缪	柯叶尚纷敷	柯叶正敷荣
从事经论学的有道高僧。	优娄比丘经论学	优娄比邱得广居	经学于君逊一筹	优娄比丘多躗言
团团酥油和凝蜡虽难得些许相似。	团酥与凝蜡	蒂是团青蜡	绿蜡凝肤滑	酥凝烂玉杯
永州地方风俗传。	兹焉值其时	我来值明时	生我值兹时	初度值良时
喧闹当中也有深深的沉寂。	窅然喧中寂	萧然喧寂外	真籁无喧寂	悠然喧寂理
面对飒飒秋风，我觉得病情渐有好转。	秋风病欲疏	秋风病发深	秋风引病来	春风鬓欲疏
想当初，吞声忍泪。	忆昔吞悲别亲族	忆昔濠梁赠别时	忆昔白云曾语别	忆昔旴江话别时
如果与您比起来。	若向夫君比	若将林下比	若将比郎心	若向花中比
激昂的精神风生云起。	激昂风云气	激昂看侠气	白纛风云气	风云摅壮气
而身份财富只是短暂的荣盛。	富贵亦暂热	富贵亦当忘	富贵亦微茫	富贵亦黄埃
锁闭华屋，无人看见我悲哀的泪痕。	金屋无人见泪痕	不见英皇染泪痕	香闺有泪无人见	金屋无人白燕飞
请问什么时候我才能听到宋军收复中原的好消息呢？	何时青海月，重照汉家营？	中天问明月，曾照汉家坛。	何时青冢月，却照汉家营。	可怜闺里月，偏照汉家营。
鼓瑟齐鸣船工唱起了歌。	箫鼓鸣兮发棹歌	鼓吹连天发棹歌	箫鼓中流杂棹歌	拍水长鸣和棹歌
鸭子在严寒中苦守冰池。	寒鹜守冰池	寒鹿守冰泉	寒池顾影深	冰沼留寒鹜
人们在竹林外的话可以听到两位僧人微小的落子声。	时闻下子声	时闻床下声	时闻落叶声	时闻山鸟声
在紫阁中看松树耸入云中。	紫阁舞云松	紫阁白云端	妙舞若云翔	梦云期紫阁
走入云山深处，也会沾湿衣裳。	入云深处亦沾衣	白云深处亦行春	入工深处亦沾衣	更入白云深处行
托付给你还乡梦。	凭寄还乡梦	归乡凭远梦	乡程凭梦到	凭窗寄乡梦
打仗时还有士兵战死后尸骨被送回咸阳的。	亦有白骨归咸阳	金陵白骨返山阿	何自招魂归白骨	白骨可曾归闽海
在京师，皇帝与达官贵人们登上席次乘坐高座。	黄金狮子乘高座	海印堂中狮子座	安得黄金高北斗	双金狮子四金龙
青山连绵直到武昌。	山自武昌连	群山近武昌	江山且武昌	山自东南出
伏剑而死诚然已成往事。	伏剑诚已矣	曳裾诚已矣	颓恩诚已矣	逝水良已矣
梅花开放，雪花却还飘着。	梅舒雪尚飘	梅冲艳雪开	梅即能飘雪	梅蕊方舒雪
杨广还想把芜城作为帝王之家。	欲取芜城作帝家	不见芜城帝子家	媮取金陵作帝家	买取宜城作醉乡
不做颍川灌夫为牢骚酗酒。	不似颍川空使酒	不让樊川杜使君	不使声名减颍川	但使酒泉长似酒
就像大珠小珠一串串掉落玉盘。	大珠小珠落玉盘	弹作盘中大小珠	明珠迸落玉盘深	大珠小珠玉盘落
只因春色即将逝去。	只缘春欲尽	那知春欲尽	春光怜欲尽	都缘春尽迟
闲散之人独居于清风亭中。	闲居清风亭	清风野吏亭	闲居自素风	闲居日清静
你我相隔天涯却共赏月亮。	天涯共此时	天涯共客时	天涯还此会	天涯同此路
”走到家门前看见野兔从狗洞里进出，野鸡在屋脊上飞来飞去。	兔从狗窦入	云从石窦穿	狗窦号光逸	路从支涧入
德高望重崔少府在清江河畔。	美人清江畔	美人江上路	美人烟水畔	美人隔江水
那朱门里啊，富人家的酒肉飘散出诱人的香气。	朱门酒肉臭	酒肉朱门臭	花门空饱肉	市卒酒肉臭
我却说秋天远远胜过春天。	我言秋日胜春朝	当日离春今日秋	须知秋日胜春朝	我负春秋几佳日
远方渐渐显现出一座不知名的山。	远山初出未知名	西山出云青未了	山中知面不知名	风霾未放远山出
反而探得了明月之珠。	探得明月珠	精金明月珠	赠子明月珠	获得夜明珠
凉气阵阵袭入卧室。	竹凉侵卧内	竹凉侵簟玉	竹阴侵晏坐	竹凉侵客座
定有明珠生长在蚌胎。	必有明月生蚌胎	月冷明珠割蚌胎	明月新珠出蚌胎	照乘明珠剖蚌胎
呼啸的钱塘涛声春夜传入伍员庙。	涛声夜入伍员庙	淮海涛声入夜哀	远听涛声避伍胥	拍岸涛声夜入帏
始终不见丈夫归来。	终然独不见	终然不可见	所思终不见	杳然独不见
遁世归隐本是我夙愿。	且谐宿所好	林园敦宿好	山林谐宿好	偶谙心所好
不见不闻还是心烦意乱！	不见不闻还是碍	有耳不闻当是事	见说空门应不碍	不由闻见不思量
滞留长安不是我心愿。	北土非吾愿	蓟北非吾土	结驷非吾愿	北谪非吾土
阆苑仙山的仙子们，传送书信多用仙鹤。	阆苑有书多附鹤	阆苑有书犹未附	阆苑无书鹤自閒	洛下有书凭犬附
四人各守与山间麋鹿为友的栖隐之志。	各守麋鹿志	子犹麋鹿群	自谙麋鹿性	麋鹿宁无志
上天久不打雷降雨。	上苍久无雷	上天怜久旱	雷怪久无声	在候已无雷
所希望的是平定叛乱，功成身退，追随鲁仲连。	所冀旄头灭，功成追鲁连。	功成不问赏，应向鲁连知。	拔山功不竟，蔽鲁障尤多。	兴刘功不赏，灭项事成非。
有布被不要担心睡觉冻僵。	布衾莫谩愁僵卧	坚卧莫愁沾湿苦	布衾高卧宁知寒	布衾高卧梦难成
清晨时离开杞国，刮着微微的北风。	旦辞杞国风微北	卤簿北风辞粤峤	海国风微晓气清	水国西风霜露微
岸边的芦苇，请不要再长，免得妨碍我欣赏明月东升。	莫放修芦碍月生	月生微放雨窗明	莫向沙边弄明月	莫放修林碍月生
吟诗起兴最好之地莫过于潇湘。	最多吟兴是潇湘	最是宜秋诗意多	多情赖是湘江月	最是晚凉多逸兴
早上吟《猛虎行》。	朝作猛虎行	朝行虎豹前	悲歌猛虎行	猛虎出林行
边城一带如此萧条。	边城何萧条	北鄙何萧条	秋风何萧萧	萧条冶城寺
迎着和暖的春风开怀畅饮屠苏酒。	春风送暖入屠苏	光风送暖入亭台	东风送暖入屠苏	春风送暖正宜人
雁知道春天快到了，就别离衡阳飞回北方。	雁知春近别衡阳	春近衡峰雁又回	上阳树色知春近	衡阳春过雁应疏
往昔那些人谁还与我相识相好？	畴昔相知几人在	畴昔相知似弟昆	白首相知有几人	不知今昔几人曾
墓草被烟雾笼罩日益枯萎。	白草侵烟死	白草荒烟淡	白草侵危堞	白骨迷衰草
你终于不愿归北与亲人团聚，客死江南也是出于避祸之心。	公兮不归北	之子不归去	君归我不归	黄公去不归
那些大富大贵们不朽也只有一朝。	富贵一朝名不朽	富贵功名不动心	富贵功名老不思	富贵功名总不关
秋天的物色多么苍茫。	秋色何苍然	秋色已萧然	秋色正苍然	夜色何苍苍
忧民忧国的情绪啊，千重万叠，高过终南，浩茫无际，又怎能收敛！	忧端齐终南，澒洞不可掇。	黔羸秉大钧，丛脞不可当。	北极终无改，南熏不可回。	南乎不可北，东乎不可西。
喷洒溅落穿透了一层层浮云。	洒落出重云	惊电出重云	秋落万重云	叫入万重云
那长安城在那遥远的日光边，我怀念你却无法相见，这种相思令我衰老。	长安遥在日光边，忆君不见令人老。	北望长安近日边，春风函丈忆当年。	几年不见长安月，重见长安月色光。	送君便重思前度，不道长安远日边。
这里曾经是御驾亲临的地方，而今一片萧然。	此地曾经翠辇过	君看此地经游辇	此地曾经驻跸来	翠辇曾经此地过
我应该庆幸从来没有写过什么谈封禅之书。	犹喜曾无封禅书	遗藁元无封禅书	犹喜都无封禅书	诗言不喜书封禅
重建京城先要营造君王的祖庙。	先当营七庙	先王为立庙	先生今庙食	当年廊庙尊
盛夏中午，烈日炎炎。	锄禾日当午	日午未朝餔	黍禾夏日芃	锄莠日当午
石头山崖石高耸如虎踞，山下波涛汹涌，猛虎欲趁势凌波而去。	石头巉岩如虎踞，凌波欲过沧江去。	千寻坠石瞰江堧，绝迹凌空势欲翾。	滚滚长江去不休，岩岩盘石踞城头。	拍岸怒涛雷喷薄，横江乱石铁巉岩。
俯瞰着黄河滔滔奔流。	下见洪河流	洪河流廨下	洪河绕塞流	卧见长淮流
纷繁的花朵渐渐开放使人眼花缭乱。	乱花渐欲迷人眼	乱山回互欲迷人	榴花渐欲明人眼	看到奇花眼欲迷
草中虫子到灯下来低鸣。	灯下草虫鸣	灯下草虫啼	草虫鸣暗壁	阶下草虫鸣
以寒松为师向这位山中大夫稽首。	寒松揖大夫	乔松大夫封	霜前松大夫	松色大夫家
锦官城虽然说是个快乐的所在。	锦城虽云乐	锦城虽可乐	谁云帝城乐	春城孰云乐
晚景中看到那渡津的关楼。	晚景低津楼	津楼晚气孤	晚色上楼迟	晚景云低树
屋前杨柳依依，翠绿色的柳条辉映着门窗。	杨柳依依绿映门	垂柳依依绿到门	杨柳依依绿未成	出门杨柳碧依依
有谁知道我这万里行客。	谁知万里客	谁知万里游	谁知千里别	谁知千里翮
万里征途刁斗声声鸣响。	万里鸣刁斗	刁斗鸣不歇	刁斗正鸣秋	刁斗声寒里
但不应让好钱坏钱长时欺蒙！	好恶不合长相蒙	共命不能同好恶	相好何因不相别	不争好恶故相欺
只见那如翠色屏风的山峰，高有千仞。	翠屏千仞合	积翠千层合	翠屏千嶂回	翠屏千嶂合
不知他成仙化鹤以后。	不知曾化鹤	不知鹤飞出	老鹤不知年	不知骑鹤过
当年同游之时正是春花竞放的美好时光。	旧游时节好花天	正是游春好时节	花柳西湖好时节	旧游还忆秋时节
他清高的品性真令人无比敬仰。	宗臣遗像肃清高	至今遗像肃清高	清高遗庙肃人思	遗像清高见英采
而在深邃的白石潭底，还游弋着巨龙。	龙移白石湫	祖龙驱白石	石壁话龙湫	龙化石成湫
林中落叶飘零，野地空旷寂寥，独行无绪，唯有闲坐，细数着那空中的点点萤光。	独行穿落叶，闲坐数流萤。	斜门旋落叶，湿草飐残萤。	径凉行落叶，池净数游鱼。	行冲落叶径，坐听隔江钟。
游兴顿起，不会在乎路途的远近。	兴来无远近	兴来忘远近	物情无远近	兴来无近远
魏武帝治理的是整个天下，在他眼里，祢衡只是一只蚂蚁。	魏帝营八极，蚁观一祢衡。	赤帝祚四百，徒然诸吕谋。	穆满尚八骏，隆基惟一骡。	大观齐诸物，雄图彼一时。
因为有孙子在，他母亲还没有离去，但进进出出都没有一件完整的衣服。	有孙母未去，出入无完裙。	有家惟母在，无犬寄书归。	长号辞母去，无力逐夫行。	母霜父未葬，尔独能无怏。
战乱过后田园荒芜寥落。	田园寥落干戈后	寥落田园隔虏尘	寥落干戈十载馀	田园寥落家何在
林中月亮仿佛低落在行舟的背后。	林月低向后	林月向谁明	孽鸟向林低	隔林残月低
从早到晚鸣叫在柳树边的春风中。	柳边尽日啼春风	尽日春风吹百花	湖边无日欠春风	五柳春风尽日閒
回想昨夜的阵阵风雨声。	夜来风雨声	夜来风雨大	夜来风雨恶	夜闻风雨声
正当扶病强起之际。	力疾坐清晓	力疾困微生	卷帘坐清晓	力疾坐长夜
万物兴盛，显出万物的自私。	欣欣物自私	欣欣群物意	欣欣各自私	欣欣物华好
初升的太阳照在山林上。	初日照高林	旭日照高林	高日照高林	初日照林端
家里人最讨厌鸡儿食虫又啄粟。	家中厌鸡食虫蚁	争怜野鹜厌家鸡	蛮落人家厌食鱼	家中子女兼鸡犬
家家窗里透出机抒声。	机抒鸣帘栊	林密帘栊暝	帘栊上夜钩	帘栊月当钩
这股泉水的清静和淡泊没有人看见，但不论怎样，这股泉水年复一年地依旧是那么清澈。	恬澹无人见，年年长自清。	去去人应老，年年草自生。	寂寂心无住，年年日自长。	独立无人见，幽行偏自如。
相必兄长你会在归舟中常常翘首遥望天边，频频回首离别的方向，从今后还要多寄来书信安慰天涯断肠的我。	归舟天际常回首，从此频书慰断肠。	红桥回首路茫茫，雁足书来每断肠。	碧云暮合天无际，回首相思欲断肠。	今日登临重回首，乡关迢递雁书遥。
我曾读过慧远公的小传。	尝读远公传	远公传教毕	昔读远公传	曾读陶公传
春困时节连梳洗都懒的动了。	春困着人倦梳洗	幽人长夏倦梳头	宿酒困人梳洗懒	春力著人春睡重
就像中国的宫廷乐舞。	犹似霓裳羽衣舞	记得霓裳羽衣舞	犹作霓裳羽衣舞	羽衣旧曲舞霓裳
雁阵穿云北去，赶赴北国家园。	旅雁上云归紫塞	紫塞春随旅雁还	旅雁冥飞绝塞霜	云横紫塞无来雁
我被贬谪到济水之滨。	谪去济川阴	为舟忆济川	闽川今谪去	独说济川舟
这一生与妻子共同分担着国难的痛苦以至于让人憔悴。	浮生共憔悴	半生憔悴眼	浮生共多故	憔悴此生过
就已透出青冷的翠色。	寒色已青葱	寒树晓茏葱	青葱宁改色	草色已青青
红日照耀春天多么美好。	白日曜青春	白日在青天	白日青春道	白日黯春晖
你看它替我们流泪流到天明。	替人垂泪到天明	岂知垂翅到天明	替人垂泪烛心低	起来弹泪到天明
对我稍加留意与眷顾。	于我少留情	于我故多情	劝我少淹留	留此谢多情
人浮在水中鼻内充满了兰花的芳香。	气浮兰芳满	酒气来兰蕙	香气浮兰茝	芳气散如兰
树根横穿进石缝中寻求水分。	有根横水石	有根盘水石	有梅横石涧	横遮野水石
自古以来多有艰辛。	自古多艰辛	自古多征战	自古艰难地	自古有艰难
我的思乡之情归到哪里。	归心落何处	乡心落何处	落水归何处	乡心何处寄
白白地受了我们君王免除租税的恩惠。	虚受吾君蠲免恩	当时虚受君恩者	不知何以受君恩	免输薪粲荷君恩
故乡虽然在打仗。	家山虽在干戈地	干戈满地家何在	干戈满目家何在	关山无地干戈息
在此游乐。	常闻此游盘	常闻游蜀客	常为东谷游	常闻说此心
明天也要随风飘落了。	明日定随风	明日东风转	明日各风烟	日日解随风
就像今天的酒席。	还似今朝歌酒席	今朝美酒今朝醉	今朝有酒还堪醉	还似歌筵酒在唇
哪晓得一进宫，还没等到见君王一面，就被杨贵妃远远地冷眼相看。	未容君王得见面，已被杨妃遥侧目。	请把阿娇作近喻，到底君王不重顾。	已得惠妃欢喜见，方头笑杀曲江公。	纵使君王得相见，也应不爱白头人。
不要怨恨被关在华丽的笼子里，也不要痛恨翠绿的毛被剪得残缺不全。	莫恨雕笼翠羽残	雕笼摧羽就羁栖	身系雕笼翠羽摧	莫愁彩羽闭雕笼
倚剑登上燕然山，那里边峰嵯峨，战争频繁。	倚剑登燕然，边烽列嵯峨。	虏骑乘秋入，边烽列障开。	黄云马首横，仗剑赴边城。	倚剑登燕然，边峰列嵯峨。
只觉得风声萧萧兮长夜漫漫。	风萧萧兮夜漫漫	朔风雨霰夜漫漫	风萧萧兮易水寒	风吹清漏夜漫漫
他们就会争着帮我把它们叠好。	与吾叠袍袄	寒装叠缊袍	谁当与敝袍	与儿作衣襦
一路风雨打湿衣裳。	风雨湿征衣	风雨湿蓑衣	寒雨洒征衣	山雨湿征衣
只剩下空寂旷远的黄秋。	断目不能看	过目不能忘	看君不能语	遗札不能看
依着栏杆细细品评着书简上的文字。	临池鸟迹舒	临池白鸟看	池中鸟色翻	池边鸟自飞
大笑着上青山。	大笑上青山	大笑指青天	堪笑青山外	大路临青山
白天登山观察报警的烽火台。	白日登山望烽火	山头遥望无烽火	大雪登城望夕烽	西山近日无烽火
云梦大泽水气蒸腾白白茫茫。	气蒸云梦泽	气煖欲蒸云	气吞云梦泽	水气蒸云湿
君王已死，现在没有地方可寻了，而这里的亭台楼榭却依旧是那个样子。	君王无处所，台榭若平生。	君王无处所，年代几荒凉。	明王何处所，客梦亦无凭。	贾生亦何者，此地起楼台。
人们雅称你为花中之王。	雅称花中为首冠	中丞风采豸为冠	大雅合称金殿首	五百花冠今首出
东风跟随春姑娘回来了。	东风随春归	春风去不归	东风吹春水	东风已自归
人间的事情都有更替变化。	人事有代谢	人事有倚伏	天道有代谢	物理有代谢
这是因为她不忍 再看到这美好秋月的缘故。	不忍见秋月	不见清秋月	不见中秋月	谁能见秋月
吐蕃和唐朝断了音讯，我与你生死两隔，长久别离。	蕃汉断消息，死生长别离。	雁远无消息，梅残恼别离。	已知生死断，犹乍别离看。	山川来往处，生死别离愁。
到如今多少战士万里出征不见回还。	万里长征人未还	万里长征竟未还	万里桥西人未归	万里征人惮往还
僧伽塔啊，你若不嫌我带来的俗尘玷污了你的丹梯。	不嫌俗士污丹梯	养高不受俗尘污	莫嫌俗士不教通	不从吏议污丹书
清光千年依旧世事不同今古。	澄澄变今古	一湖变今古	河流变古今	自通今古变
面对着苍茫天空，滔滔大海，引起我无限情思。秋风吹拂的山下，传来断断续续的砧杵声。极目远眺，荆榛树丛莽莽一片，一望无际，几乎塞满了全郡的每一处。	数家砧杵秋山下，一郡荆榛寒雨中。	一簇帆樯秋浦外，几家砧杵夕阳中。	四野山河通远色，千家砧杵共秋声。	孤村砧杵惊秋早，古郡荆榛带雨愁。
举荐徒劳，壮志难酬。	恩疏媒劳志多乖	志大才疏苦多累	交情稍重怨恩多	劳生从宦意多违
他满脸灰尘，显出被烟熏火燎的颜色，两鬓斑白十指漆黑。	满面尘灰烟火色，两鬓苍苍十指黑。	归来却被青山笑，万丈黄尘两鬓烟。	两鬓苍苍尘满眼，东人犹未识髯公。	两鬓苍苍渐似雪，回头四十九年非。
鸟儿们在河边啄食，成熟的雄鸟们为求得配偶在互相争斗。	啄食饮泉勇气满	渴饮清泉困饮茶	未能槁食并泉饮	柔毛食饱饮苦泉
黄莺归去了，燕子飞走了，宫中长年冷清寂寥。	莺归燕去长悄然	燕子已归寒未去	凤去鸾归夜悄然	莺去燕来春暗老
岁月使宫廷更加美丽。	年华丽绮宫	朱华夹绮席	韶华艳绮罗	瑶华丽绮筵
只知满足皇上口体欲望，是多么卑鄙恶劣！	致养口体何陋耶	口体之奉盖养生	世俗养亲惟口体	大体何知小体胖
旭日初升照着河流关山。	关河开晓晴	关山开晓色	星河验晓晴	阴关晓不开
又过茝若宫去听黄莺唱歌。	还过茝若听新莺	鸣莺求友听常新	新莺还共省中听	岸巾柳底听新莺
畅师的眼睛明亮如秋水，纤腰细如束素帛。	瞳人剪水腰如束	小鬟莫讶腰如束	一捻宫腰如束素	双瞳剪水身如玉
乘机崛起的军阀割据势力日日夜夜争斗不休。	龙虎斗朝昏	虎斗龙骧剧	龙阿星斗气	龙泉佩斗文
西湖岸边已长满了青草，成群白鹭在平静的湖面上翻飞。	草长平湖白鹭飞	雪落长溪白鹭飞	水满平湖白鹭飞	青草平湖白鹭飞
墓前的石麒麟已经被萋萋荒草埋没。	石麟埋没藏春草	石麟埋没藏秋草	笔冢麟埋烟草绿	石麟埋没草芊芊
洛水东去街市随之改变。	水声东去市朝变	人来人去市朝变	水声东去沧溟远	凭誇水尽朝东去
宫中把新火赐给大臣，大臣们无事，以蹴鞠为戏。	内官初赐清明火，上相闲分白打钱。	上相自求王导节，深宫新赐邓通钱。	银烛夜分供细字，宫壶晓赐出明光。	内帑出缗宗伯给，太官赐宴近臣宣。
可爱的九匹马神姿争俊竞雄。	可怜九马争神骏	可怜白马逐青骢	可怜神骏老空山	绝怜神骏蹶长途
只见鸥群日日结队飞来。	但见群鸥日日来	想见鸣琴日日来	惟爱群鸥日日来	傍水群鸥日日来
看着它也不用忧伤老大不小了另有池塘中一种幽雅的情怀。	相看未用伤迟暮，别有池塘一种幽。	泮塘柳老尚依依，繁菊相看也未迟。	相逢莫恨芳菲尽，明日池塘看小荷。	相过莫说未归事，一段伤情只自知。
